Language,LocalizedTitle,EnglishName,StartDate,EndDate,Owner,Registration,Searchkeyword,PageTitle,MetaKeyword,MetaDescription,Description,Abstract,Author,DateofDocument,LinkURL,BuyersJourney,RelatedProducts,Files,MarketIntrest,LeadForm,AssetCode,FileName,FileDescription,FileSelection,FileVersion,FileLastupdated,Link,EmailSubject,Emailto,EmailBody
English,Siebel Overview Test 1,Siebel Overview Test 1,12/13/2018 0:00,12/13/2019 0:00,Menaka Murugeshan (mmuruges),Full Registration - Lead only,Key,Siebel Overview Title1,Keywords,Description,This is description,Abstract,Jhon,12/13/2019 0:00,http://stage-o2/v2/Documents/Edit/152/,Awareness,000 MQ Dec11Product Sales=No;000 MQ Sep 28 Test Tool;000MQ XYZ;Toad Extension for Visual Studio,C:\MTAF\Files\Siebel Overview.pdf,000MQ SP62SQ Ignore this test,Quest,WP-Assetcode,Siebel,Siebel Description,Upload File,v1,12/13/2019 0:00,https://www.quest.com/,LinkEmail,Seshikanth.Anumolu@quest.com,An Link email body
English,Siebel Overview Test2,Siebel Overview Test2,12/13/2018 0:00,12/13/2019 0:00,Menaka Murugeshan (mmuruges),Upload a document,Key,Siebel Overview Title2,Keywords,Description,This is description,Abstract,Jhon,12/13/2019 0:00,http://stage-o2/v2/Documents/Edit/152/,Awareness,000 MQ Dec11Product Sales=No;000 MQ Sep 28 Test Tool;000MQ XYZ;Toad Extension for Visual Studio,C:\MTAF\Files\Siebel Overview.pdf,,,,,,,,,,,,
English,Siebel Overview Test 3,Siebel Overview Test 3,12/13/2018 0:00,12/13/2019 0:00,Menaka Murugeshan (mmuruges), Link directly to a document,Key,Siebel Overview Title3,Keywords,Description,This is description,Abstract,Jhon,12/13/2019 0:00,http://stage-o2/v2/Documents/Edit/152/,Awareness,000 MQ Dec11Product Sales=No;000 MQ Sep 28 Test Tool;000MQ XYZ;Toad Extension for Visual Studio,C:\MTAF\Files\Siebel Overview.pdf,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
